request_id,latency_seconds
320,107.61038994789124
321,128.02158212661743
322,128.01875114440918
323,127.70554995536804
324,128.55300617218018
325,107.54636812210083
326,128.33925199508667
327,127.88753485679626
328,107.54841113090515
329,107.67860817909241
330,128.02578115463257
331,128.14872193336487
332,128.03769493103027
333,127.72861409187317
334,128.04430222511292
335,107.52915000915527
336,107.53291082382202
337,107.53255081176758
338,128.05594778060913
339,107.62406897544861
340,107.58714699745178
341,107.53299713134766
342,127.93074893951416
343,107.65574193000793
344,128.3733160495758
345,128.28378319740295
346,107.66338419914246
347,130.66974520683289
348,128.453439950943
349,127.99115228652954
350,107.51264309883118
351,128.07897520065308
352,127.8226330280304
353,107.44916701316833
354,106.3331139087677
355,107.62993693351746
356,127.98261213302612
357,105.70119714736938
358,128.45697784423828
359,127.84592604637146
360,107.50662112236023
361,107.50422501564026
362,107.6032280921936
363,128.3839089870453
364,107.56982183456421
365,128.20607209205627
366,105.62803506851196
367,107.56830382347107
368,128.3170289993286
369,107.59454989433289
370,107.49419808387756
371,127.867436170578
372,128.32067704200745
373,107.56143879890442
374,128.22503018379211
375,107.59541606903076
376,129.76516675949097
377,107.61388206481934
378,107.48495197296143
379,107.55497288703918
380,106.37605094909668
381,128.32320713996887
382,128.23149800300598
383,128.13754177093506
384,128.02917194366455
385,128.2337348461151
386,127.94701886177063
387,107.57586669921875
388,107.47159814834595
389,107.5826051235199
390,107.47334027290344
391,127.94339084625244
392,127.94208312034607
393,127.94264602661133
394,107.5368161201477
395,107.56325602531433
396,107.59703016281128
397,107.39959406852722
398,98.86889314651489
399,107.58923697471619
400,128.052344083786
401,107.59239721298218
402,127.93531084060669
403,128.05506420135498
404,128.41717886924744
405,107.4546890258789
406,128.1658968925476
407,107.458251953125
408,105.5553228855133
409,128.1676380634308
410,107.51404190063477
411,130.4338698387146
412,127.95539498329163
413,107.56141686439514
414,107.59581685066223
415,107.45311307907104
416,128.17670488357544
417,128.18282198905945
418,107.5788848400116
419,128.27954578399658
420,128.08444786071777
421,107.53694105148315
422,98.96123123168945
423,128.0867531299591
424,128.18640780448914
425,127.98512482643127
426,107.53890609741211
427,128.09593987464905
428,107.53076577186584
429,107.5321626663208
430,107.3724160194397
431,128.1041510105133
432,107.4988009929657
433,107.43700003623962
434,107.43217778205872
435,107.5443229675293
436,128.36825609207153
437,107.49013090133667
438,128.42712903022766
439,107.42261290550232
440,128.48574900627136
441,128.10967922210693
442,107.52387189865112
443,128.0084729194641
444,128.42737674713135
445,107.52736902236938
446,128.4296679496765
447,105.53440690040588
448,128.12228918075562
449,128.3013298511505
450,107.54185676574707
451,128.02374482154846
452,107.35002708435059
453,107.5289192199707
454,107.47781777381897
455,128.22609090805054
456,128.22871112823486
457,107.47721123695374
458,107.40908074378967
459,107.4024829864502
460,128.0340747833252
461,128.30985283851624
462,107.46643304824829
463,107.40966606140137
464,128.13830304145813
465,128.4450056552887
466,128.31392097473145
467,107.46890592575073
468,128.04013586044312
469,128.13998222351074
470,107.45982098579407
471,129.62376499176025
472,128.1469612121582
473,128.31776404380798
474,107.52104210853577
475,128.14985513687134
476,107.32882785797119
477,107.50847005844116
478,128.24733209609985
479,107.459645986557
480,128.24947905540466
481,128.32829689979553
482,107.38902974128723
483,107.48868227005005
484,107.45694208145142
485,107.50966668128967
486,128.79148960113525
487,128.16152119636536
488,128.06523489952087
489,107.44861316680908
490,105.52171182632446
491,128.25385808944702
492,107.38441228866577
493,128.32838678359985
494,107.44971895217896
495,128.16769790649414
496,107.51566505432129
497,105.45282793045044
498,107.37412714958191
499,128.2566123008728
500,128.25997591018677
501,128.18070101737976
502,107.47573399543762
503,128.33464908599854
504,107.46844005584717
505,107.47169995307922
506,107.43292117118835
507,128.26642298698425
508,107.51028823852539
509,106.18754816055298
510,107.43545198440552
511,107.43436121940613
512,128.08873295783997
513,107.36788511276245
514,107.36285591125488
515,128.26691198349
516,107.48485016822815
517,128.09484004974365
518,107.46024703979492
519,107.35621094703674
520,130.3459768295288
521,107.42319583892822
522,128.27430176734924
523,107.44834804534912
524,107.44541311264038
525,129.54685592651367
526,107.3454053401947
527,105.45462489128113
528,128.19848704338074
529,129.61017489433289
530,128.8478500843048
531,107.34868216514587
532,128.27724814414978
533,107.40374398231506
534,129.56943798065186
535,107.40499472618103
536,107.46908712387085
537,128.40091514587402
538,107.01928901672363
539,107.44175100326538
540,107.40827178955078
541,107.45555210113525
542,107.45425510406494
543,128.33920001983643
544,128.39890384674072
545,128.34128499031067
546,98.73941588401794
547,98.73925304412842
548,107.39789700508118
549,128.12880992889404
550,107.44875597953796
551,107.39474987983704
552,128.20952200889587
553,107.39804410934448
554,130.47861504554749
555,128.21060585975647
556,128.28641510009766
557,106.21762919425964
558,107.30707573890686
559,107.4381628036499
560,105.39534020423889
561,107.4701759815216
562,130.45053791999817
563,107.32428503036499
564,107.32832407951355
565,128.28775596618652
566,107.24956107139587
567,107.3814148902893
568,107.41289806365967
569,129.55904817581177
570,107.31169509887695
571,107.40159106254578
572,128.22388100624084
573,107.3758819103241
574,107.3713161945343
575,107.42223882675171
576,128.22543096542358
577,107.3021399974823
578,107.43142318725586
579,128.35259890556335
580,98.70273303985596
581,107.39200782775879
